Well,X,Y,Sampling year,Sampling season,pH,Ca,Mg,K,Na,Cl,SO4,HCO3,Fe,F,NH4
J18,635906,3290249,2007,dry,7.83,118.83,42,2.88,15.54,25,1,575,17,0.14,1.4
J18,635906,3290249,2007,wet,7.83,118.73,39.5,4.18,14.14,3.75,2,642.5,2.6,0.08,8.54
J18,635906,3290249,2008,dry,7.16,132.74,40,3.98,15.93,2.5,1,682.5,2.8,0.08,4.35
J18,635906,3290249,2008,wet,7.28,117.9,40.5,2.79,9.86,2.5,1,630,5.4,0.08,10.09
J18,635906,3290249,2009,dry,7.39,145.11,53.5,3.99,20.23,7.5,1,845,5.6,0.08,15.53
J18,635906,3290249,2009,wet,8.29,127.7,40.5,3.47,13.22,5,1,667.5,2.4,0.16,21.74
J19,654536.37,3316624.05,1993,wet,7.5,124.5,34,1.4,13.6,1.2,2.5,577.5,2.2,0.16,0.1
J19,654536.37,3316624.05,1995,dry,7.1,128.6,33,2.66,13.3,1.2,2.5,597.5,3.1,0.12,0.2
J19,654536.37,3316624.05,1996,dry,7.1,134.39,30,2.2,15.6,2.5,n.d.,600.03,1.4,0.16,0.24
J19,654536.37,3316624.05,1996,wet,7,136.87,31,2.4,14,1.25,1,600.03,2,0.2,n.d.
J19,654536.37,3316624.05,1997,dry,7.29,135.22,27.5,2.29,12.73,1.25,3,585.03,1.7,0.12,n.d.
J19,654536.37,3316624.05,1997,wet,7.6,130.27,30.5,2.14,12.41,0.01,1,587.53,2,0.2,0.16
J19,654536.37,3316624.05,1998,dry,7.13,135.22,30,2.7,14.3,1.25,1,590.03,1.6,0.12,0.2
J19,654536.37,3316624.05,1998,wet,7.54,124.5,40,2.2,11.7,2.5,3.2,577.53,1.8,0.24,0.24
J19,654536.37,3316624.05,1999,dry,7.59,126.97,29.5,1.4,14.5,1.25,1,565.03,2.4,0.24,0.34
J19,654536.37,3316624.05,1999,wet,7.5,133.57,29,2,16.2,1.25,1,597.53,2.8,0.28,0.02
J19,654536.37,3316624.05,2000,dry,7.84,121.2,28,1.78,13.12,1.25,1,545.03,3.2,0.24,0.56
J19,654536.37,3316624.05,2000,wet,7.74,106.36,32,1.7,14.44,1.25,1,520.03,2.4,0.24,0.48
J19,654536.37,3316624.05,2001,dry,7.43,134.39,28.5,1.82,14.62,1.25,1,590.03,2.3,0.28,0.4
J19,654536.37,3316624.05,2001,wet,7.54,131.1,29.5,1.9,13.57,2.5,1,572.53,2.4,0.24,0.44
J19,654536.37,3316624.05,2002,dry,7.22,90.69,29,2.038,13.435,6.25,0.4,440.02,2.6,0.2,n.d.
J19,654536.37,3316624.05,2002,wet,7.51,89.87,28.5,2.016,14.58,3.75,0.5,445.02,2.6,0.28,n.d.
J19,654536.37,3316624.05,2003,dry,7.49,135.22,28,1.87,13.62,6.25,0.2,590.03,2.4,0.28,0.28
J19,654536.37,3316624.05,2003,wet,7.39,112.13,29,1.83,14.93,2.5,2,510.03,2.4,0.16,0.06
J19,654536.37,3316624.05,2004,dry,7.88,102.24,29,1.59,14.14,1.25,1,485.02,2.4,0.12,0.46
J19,654536.37,3316624.05,2004,wet,7.98,111.31,32,1.86,13.93,1.25,1,520.03,2.2,0.2,0.52
J19,654536.37,3316624.05,2005,dry,7.75,136.04,28.5,2.7,14.66,1.25,2,590,4.2,0.24,0.36
J19,654536.37,3316624.05,2005,wet,7.59,76.68,29,1.73,14,2.5,0.2,410,2.6,0.24,0.02
J19,654536.37,3316624.05,2006,dry,7.63,135.22,28.5,1.7,13.36,1.25,1,582.5,2.4,0.24,0.28
J19,654536.37,3316624.05,2006,wet,8.2,93.99,44.5,2.33,11.53,2.5,1,517.5,0.04,0.16,0.16
J19,654536.37,3316624.05,2007,dry,7.51,135.22,28,1.66,15.73,1.25,1,600,2.2,0.36,0.56
J19,654536.37,3316624.05,2007,wet,7.7,121.2,32,1.93,11.15,1.25,1,567.5,2.2,0.08,n.d.
J19,654536.37,3316624.05,2008,dry,8.2,131.1,29,2.23,11.33,1.25,1,555,1.6,0.08,0.23
J19,654536.37,3316624.05,2008,wet,7.42,125.32,32,2.09,11.98,1.25,1,567.5,1.7,0.12,0.06
J19,654536.37,3316624.05,2009,dry,7.5,71.73,10,0.5,14.3,15,14,260,n.d.,0.12,n.d.
J19,654536.37,3316624.05,2009,wet,8.12,92.34,35,2.08,8.31,8.75,1,462.5,2.2,0.12,3.11
J19,654536.37,3316624.05,2010,dry,7.68,133.57,28,2.04,9.95,1.25,1,575,1.8,0.2,0.28
J19,654536.37,3316624.05,2010,wet,7.33,144.29,30.5,1.63,13.58,6.25,1,592.5,1.6,0.32,0.06
J19,654536.37,3316624.05,2011,dry,7.53,136.04,28,1.93,10.24,1.25,1,580,1.8,0.12,0.06
J19,654536.37,3316624.05,2011,wet,7.66,131.3,29.27,2.73,12.63,4.19,1,596.19,1.35,0.23,n.d.
J19,654536.37,3316624.05,2012,dry,7.75,131.6,37.06,3.24,13.16,2.8,1,601.66,1.52,0.15,0.16
J19,654536.37,3316624.05,2012,wet,7.75,98.7,26.61,2.25,16.48,5.6,1,496.58,1.65,0.31,n.d.
J19,654536.37,3316624.05,2013,dry,7.6,128.26,26.25,1.31,14.44,2.93,1,583.68,1.2,0.74,n.d.
J19,654536.37,3316624.05,2013,wet,7.46,133.07,23.34,1.75,13.37,1.18,n.d.,542.41,2.4,0.61,n.d.
J19,654536.37,3316624.05,2014,dry,7.33,139.58,29.99,2.05,16.11,2.78,1,636.72,1.42,0.15,0.39
J19,654536.37,3316624.05,2014,wet,7.65,72.14,29.17,2.5,14.93,2.78,1,400.72,1.74,0.26,0.39
J2,576686.45,3369255.72,1992,dry,7.3,56.1,27.5,1,36.4,2.5,7.5,390,n.d.,0.32,n.d.
J2,576686.45,3369255.72,1992,wet,7.3,59.4,27,1.3,27.5,3.8,10,395,1.2,0.4,n.d.
J2,576686.45,3369255.72,1993,dry,7.5,61.8,30,1.1,28,1.2,5,397.5,2.4,0.36,0.04
J2,576686.45,3369255.72,1993,wet,7.9,53.6,26.5,1.3,28,1.2,2.5,360,0.6,0.32,n.d.
J2,576686.45,3369255.72,1994,dry,7.5,57.7,28,1,27.3,1.2,7.5,395,5,0.36,n.d.
J2,576686.45,3369255.72,1994,wet,7.5,59.4,28,1.5,30,1.2,7.5,380,1.08,0.48,n.d.
J2,576686.45,3369255.72,1995,dry,7.3,57.7,28.5,1.26,30,6.2,10,380,2.2,0.4,n.d.
J2,576686.45,3369255.72,1995,wet,7.3,60.2,28,1.6,31.4,2.5,12.5,387.7,1,0.4,0.02
J2,576686.45,3369255.72,1996,dry,7.7,58.54,31,1.3,29,2.5,18,382.52,0.6,0.24,n.d.
J2,576686.45,3369255.72,1996,wet,7.4,61.84,27.5,1.15,27.7,5,10,377.52,0.9,0.28,0.02
J2,576686.45,3369255.72,1997,dry,7.4,60.19,27,1.05,28.65,2.5,10,375.02,1.4,0.32,n.d.
J2,576686.45,3369255.72,1997,wet,8.4,42.05,26,1.07,26.9,1.25,7,310.02,0.4,0.32,n.d.
J2,576686.45,3369255.72,1998,dry,6.97,57.72,27.5,1.2,29.8,2.5,2,387.52,0.4,0.24,n.d.
J2,576686.45,3369255.72,1998,wet,6.71,31.33,24,1.11,28.93,2.5,7.2,275.01,1,0.32,n.d.
J2,576686.45,3369255.72,1999,dry,7.31,57.72,26.5,1.4,28.8,5,18,377.52,0.6,0.32,n.d.
J2,576686.45,3369255.72,1999,wet,8.15,57.72,26.5,1.2,30,3.75,10,355.02,0.6,0.36,0.02
J2,576686.45,3369255.72,2000,dry,7.3,57.72,26.5,1.25,28.24,1.25,16.8,370.02,0.5,0.36,n.d.
J2,576686.45,3369255.72,2000,wet,8.16,55.24,26.5,1.89,24.17,3.75,6,357.52,0.44,0.32,n.d.
J2,576686.45,3369255.72,2001,dry,7.31,58.54,29,1.25,28.57,2.5,6,377.52,0.6,0.4,n.d.
J2,576686.45,3369255.72,2001,wet,7.34,60.19,27,1.25,28,3.75,5,372.52,0.6,0.4,0.24
J2,576686.45,3369255.72,2002,dry,7.54,49.47,26.5,1.8,30.419,5,10,350.02,0.6,0.36,n.d.
J2,576686.45,3369255.72,2002,wet,7.7,55.24,26.5,1.89,24.17,3.75,6,357.52,0.44,0.32,n.d.
J2,576686.45,3369255.72,2003,dry,7.69,61.01,27,1.42,28.08,6.25,8,385.02,0.6,0.32,n.d.
J2,576686.45,3369255.72,2003,wet,7.89,51.12,25.5,1.17,30.17,3.75,6,347.52,0.6,0.36,0.03
J2,576686.45,3369255.72,2004,dry,8.3,55.24,28.5,1.05,28.25,2.5,10,345.02,0.6,0.32,n.d.
J2,576686.45,3369255.72,2005,dry,7.74,58.54,27.5,1.1,28.83,1.25,6,380,0.6,0.32,n.d.
J2,576686.45,3369255.72,2005,wet,8.35,50.29,26.5,1.1,26.93,1.25,14,315,0.4,0.36,n.d.
J2,576686.45,3369255.72,2006,dry,8.58,61.84,25.5,1.01,27.22,1.25,13,362.5,0.4,0.36,n.d.
J2,576686.45,3369255.72,2006,wet,8.28,54.42,27.5,1.12,27.74,6.25,1,352.5,0.6,0.28,n.d.
J2,576686.45,3369255.72,2007,dry,8.34,57.71,27,1.08,28.35,1.25,4,365,0.6,0.12,0.03
J2,576686.45,3369255.72,2007,wet,8.65,44.52,26,1,27.82,1.25,10,317.5,0.6,0.24,n.d.
J2,576686.45,3369255.72,2008,dry,8.39,59.36,26,1.27,27.26,1.25,5,365,1.2,0.32,n.d.
J2,576686.45,3369255.72,2008,wet,8.41,57.71,26,1.29,27.74,2.5,8,357.5,0.8,0.4,n.d.
J2,576686.45,3369255.72,2009,dry,7.32,136.87,24,0.88,12.09,1.25,1,570,3,0.1,0.47
J2,576686.45,3369255.72,2009,wet,7.78,80.8,29.5,1,16.94,15,1,425,5.6,0.2,n.d.
J2,576686.45,3369255.72,2010,dry,6.9,115.43,29,1.49,19.45,15,6,510,0.6,0.28,0.22
J2,576686.45,3369255.72,2010,wet,7.37,84.1,41,1.57,11.96,25,1,445,4,0.2,n.d.
J2,576686.45,3369255.72,2011,dry,6.94,136.04,29.5,1.21,18.39,43.75,4,512.5,n.d.,0.28,0.12
J2,576686.45,3369255.72,2011,wet,7.57,109.73,32.57,1.33,16.1,11.17,1,532.76,3.11,0.23,n.d.
J2,576686.45,3369255.72,2012,dry,7.72,114.37,33.26,2.2,21.62,14,10,541.49,0.14,0.32,0.08
J2,576686.45,3369255.72,2012,wet,7.67,117.5,31.36,1.87,31.52,19.59,25,567.52,0.13,0.35,n.d.
J2,576686.45,3369255.72,2013,dry,8.1,116.23,30.14,2.05,20.28,13.18,0.5,565.99,0.05,0.3,0.23
J2,576686.45,3369255.72,2013,wet,7.35,128.26,26.74,2.85,20.17,15.45,11.8,570.47,0.1,0.34,0.47
J2,576686.45,3369255.72,2014,dry,7.37,114.85,29.99,1.6,20.98,11.12,4,549.33,0.07,0.32,0.08
J2,576686.45,3369255.72,2014,wet,7.54,86.57,30.63,2.11,23.68,25.03,4.8,406.79,0.05,0.27,n.d.
J20,695347,3309535,1992,wet,7.5,134.4,31.5,1.1,15,1.2,2.5,615,2.8,0.2,0.12
J20,695347,3309535,1993,dry,7.1,139.3,29.5,1,15.8,1.2,2.5,625,2.8,0.2,0.24
J20,695347,3309535,1993,wet,7.6,131.1,30.5,1.1,15.5,1.2,2.5,597.5,3.6,0.16,0.12
J20,695347,3309535,1994,dry,7.6,103.1,30,1.3,15.3,2.5,5,512.5,2.8,0.16,1.6
J20,695347,3309535,1994,wet,7,137.7,29.5,1.7,17.5,1.2,2.5,610,2.4,0.52,0.04
J20,695347,3309535,1995,dry,7,140.2,29,0.7,14.7,2.5,7.5,620,2.8,0.24,0.76
J20,695347,3309535,1995,wet,7.1,141,33,1.4,19.3,3.8,2.5,610.3,2.8,0.4,0.6
J20,695347,3309535,2001,wet,7.36,126.97,28.5,1.11,15,3.75,1,585.03,2.6,0.2,0.88
J20,695347,3309535,2002,dry,7.3,136.04,28,1.498,16.015,6.25,0.2,592.53,3,0.16,0.75
J20,695347,3309535,2002,wet,7.7,108.83,28.5,1.29,14.84,2.5,0.2,505.03,5.6,0.16,0.4
J20,695347,3309535,2003,dry,7.18,136.87,29,1.08,15.33,7.5,0.2,597.53,3.6,0.2,0.56
J20,695347,3309535,2003,wet,7.39,110.48,31.5,1.01,16.81,11.25,1,530.03,3.2,0.24,0.06
J20,695347,3309535,2004,dry,7.79,120.38,27,1.6,16.67,3.75,1,540.03,2.8,0.16,1
J20,695347,3309535,2004,wet,7.83,108.01,28,1.07,15.62,3.75,0.4,502.53,2.2,0.2,0.2
J20,695347,3309535,2005,dry,7.41,135.22,32.5,0.9,15.19,1.25,3,592.5,2.8,0.16,1
J20,695347,3309535,2005,wet,7.5,119.55,29.5,0.98,15.68,5,0.4,560,3.2,0.26,0.72
J20,695347,3309535,2006,dry,7.95,135.22,28,0.95,15.7,2.5,1,575,2.8,0.16,0.47
J20,695347,3309535,2006,wet,7.52,89.05,30,1.12,15.8,8.75,1,432.5,0.6,0.24,n.d.
J20,695347,3309535,2007,dry,7.91,138.52,29,0.93,14.97,2.5,1,600,4.4,0.24,1.09
J20,695347,3309535,2007,wet,8.25,96.47,28.5,0.93,13.42,15,1,447.5,2.6,0.12,0.56
J20,695347,3309535,2008,dry,7.42,131.1,25.5,1.15,14.86,3.75,1,557.5,2.8,0.12,0.75
J20,695347,3309535,2008,wet,7.47,127.8,36,0.98,15.78,3.75,2,585,3.4,0.2,0.78
J20,695347,3309535,2009,dry,7.39,145.11,53.5,0.93,20.23,7.5,1,845,5.6,0.08,15.53
J20,695347,3309535,2009,wet,7.98,135.22,51,1.16,13.51,18.75,1,670,2.2,0.12,18.44
J20,695347,3309535,2010,dry,7.3,143.46,28,1.07,14.23,5,4,597.5,2.8,0.2,0.5
J20,695347,3309535,2010,wet,7.28,140.17,29.5,1.11,14.86,6.25,1,600,1.6,0.28,0.62
J20,695347,3309535,2011,dry,7.36,140.17,28,0.93,14.72,3.75,1,607.5,5,0.16,0.7
J20,695347,3309535,2011,wet,7.31,130.75,30.68,1.42,16.14,4.19,1,621.56,2.24,0.26,0.4659
J20,695347,3309535,2012,dry,7.7,136.3,32.31,0.99,16.76,8.4,1,601.66,3.59,0.12,0.7
J20,695347,3309535,2012,wet,7.79,86.95,24.23,1.45,18.22,5.6,1,437.46,2.05,0.13,n.d.
J20,695347,3309535,2013,dry,7.5,142.68,31.6,1.38,16.5,8.79,1,654.43,3.05,0.27,n.d.
J20,695347,3309535,2013,wet,7.44,145.89,33.06,2.24,14.49,3.41,n.d.,629.28,4.25,0.26,n.d.
J20,695347,3309535,2014,dry,7.72,141.17,32.9,1.24,17.54,5.56,0.4,667.93,2.63,0.35,1.01
J20,695347,3309535,2014,wet,7.44,144.28,32.58,1.42,17.24,5.56,1,649.65,5.46,0.26,0.31
J21,707152,3291489,1992,dry,7.3,156.6,41,4.4,21.1,1.2,2.5,772.5,3.6,0.08,5
J21,707152,3291489,1992,wet,7,167.4,46,3.5,18,1.2,1,840,3,0.12,6.4
J21,707152,3291489,1993,dry,7.7,144.3,44,3.4,21,1.2,2.5,757.5,3.2,0.12,1.4
J21,707152,3291489,1993,wet,7.5,138.5,44.5,3.4,19,0.01,n.d.,722.5,3.4,0.12,6.8
J21,707152,3291489,1994,wet,7.4,163.2,46,4.2,19.4,0.01,2.5,812.5,2.56,0.48,5
J21,707152,3291489,1995,dry,7.3,163.2,46,2.4,16.7,1.2,10,795,2.4,0.16,8
J21,707152,3291489,1995,wet,7.5,167.4,45.5,3.9,22.3,1.3,2.5,770.4,3.4,0.2,n.d.
J21,707152,3291489,1996,dry,6.9,170.67,45,4.7,20.8,3.75,2.5,827.54,2.9,0.16,6.4
J21,707152,3291489,1996,wet,7,174.79,48.5,3.5,18.9,1.25,2,822.54,3.4,0.08,6
J21,707152,3291489,1997,dry,7.77,145.11,40.5,3.65,15.8,1.25,1,727.54,2.6,0.08,6.8
J21,707152,3291489,1997,wet,7.54,158.3,50,3.43,17.93,1.25,1,812.54,3.6,0.12,7.5
J21,707152,3291489,1998,dry,7.22,155.01,42.5,4.1,17.8,1.25,1,752.54,1.8,0.08,6.4
J21,707152,3291489,1998,wet,7.28,136.04,53,3.7,14.8,2.5,3.2,735.04,2,0.12,8
J21,707152,3291489,1999,dry,7.36,161.6,44,3.6,18.8,1.25,1,792.54,4.8,0.16,8.44
J21,707152,3291489,1999,wet,7.48,149.23,44.5,3,20.6,2.5,1,760.04,3.4,0.08,7
J21,707152,3291489,2000,dry,8.03,149.23,42,3.11,19.38,2.5,1,740.04,3.6,0.12,8
J21,707152,3291489,2000,wet,7.41,169.85,44.5,3.6,21.11,2.5,1,825.04,2.1,0.12,8.5
J21,707152,3291489,2001,dry,7.72,120.38,45,3.64,20,2.5,1,667.53,2.1,0.2,8.4
J21,707152,3291489,2001,wet,7.35,152.53,39,2.9,20.71,2.5,1,737.54,6,0.08,6.5
J21,707152,3291489,2002,dry,7.1,140.99,54,4.92,16.215,5,1,840.04,15.95,0.12,27.95
J21,707152,3291489,2002,wet,7.9,135.22,55.5,5.45,3.75,3.75,0.4,812.54,8.5,0.16,17.08
J21,707152,3291489,2003,dry,7.67,141.81,52.5,4.17,15.3,6.25,1,830.04,8,0.08,24.85
J21,707152,3291489,2003,wet,7.58,138.52,53.5,4.34,16.82,3.75,1,815.04,11.2,0.12,14.75
J21,707152,3291489,2004,dry,7.67,121.2,52.5,4.32,16.1,3.75,1,762.54,6,0.08,24
J21,707152,3291489,2004,wet,8.2,133.57,52,3.83,16.89,3.75,0.4,785.04,4,0.28,26
J21,707152,3291489,2005,dry,8.16,131.92,54.5,3.48,15.88,2.5,0.6,792.5,9.6,0.08,24
J21,707152,3291489,2005,wet,7.74,102.24,55,3.72,16.75,6.25,0.2,715,10.4,0.12,23
J21,707152,3291489,2006,dry,7.54,134.39,55.5,3.89,14.7,1.25,1,800,5.6,0.08,20.19
J21,707152,3291489,2006,wet,7.62,68.43,70,4.3,17.58,3.75,1,625,12.5,0.16,12.42
J21,707152,3291489,2007,dry,8.08,141.81,51,2.62,16.94,1.25,1,795,12.5,0.32,13.98
J21,707152,3291489,2007,wet,8.59,93.99,52,3.83,15.54,7.5,1,590,12.8,0.08,17.08
J21,707152,3291489,2008,dry,7.37,143.46,51,3.75,16.65,2.5,1,797.5,15,0.12,12.42
J21,707152,3291489,2008,wet,7.71,99.76,58.5,3.45,18.74,7.5,4,692.5,13,0.12,18.64
J21,707152,3291489,2009,dry,7.72,168.2,43,2.43,29.06,70,20,680,6.4,0.12,0.78
J21,707152,3291489,2009,wet,7.46,139.34,47.5,1.18,12.85,10,1,740.5,2.2,0.16,0.25
J21,707152,3291489,2010,dry,7.29,141.81,49.41,3.09,18.64,3.2,1,770,10.5,0.12,6.83
J21,707152,3291489,2010,wet,7.39,131.92,45.5,1.92,13.78,3.9,1,682.5,6.5,0.12,15.53
J21,707152,3291489,2011,dry,7.2,142.64,48.5,5.14,18.3,3.4,1,790,6.2,0.08,15.53
J21,707152,3291489,2011,wet,7.66,129.97,43.9,1.66,13.25,4.36,1,704.01,4.09,0.22,5.4355
J21,707152,3291489,2012,dry,7.38,129.25,42.74,1.64,14.08,4.5,1,692.12,4.34,0.17,18.64
J21,707152,3291489,2012,wet,7.68,128.47,40.41,2.77,14.6,4.7,1,680.33,4.15,0.15,17.08
J21,707152,3291489,2013,dry,7.68,128.68,41.56,1.14,16.78,4.39,1,672.36,4.85,0.18,14.75
J21,707152,3291489,2013,wet,7.63,126.65,40.96,2.25,15.21,4.26,0.23,649.28,5.65,0.16,5.44
J21,707152,3291489,2014,dry,7.24,124.42,35.8,2.38,15.42,4.27,0.4,661.69,4.88,0.16,3.88
J21,707152,3291489,2014,wet,7.69,121.42,34.52,2.4,16.3,4.3,1,576.79,4.63,0.18,3.88
J22,721168,3321156,1992,dry,7.1,125.3,19,1.6,17.1,6.2,5,520,2.4,0.08,0.44
J22,721168,3321156,1992,wet,7.1,99.8,39.5,1.2,12.6,8.8,5,515,5.2,0.08,n.d.
J22,721168,3321156,1993,dry,7.7,114.6,19,1.1,13.2,7.5,2.5,480,2.4,0.12,2.6
J22,721168,3321156,1993,wet,7.4,103.9,19.5,1.1,13.6,7.5,2.5,437.5,2.4,0.12,0.12
J22,721168,3321156,1994,dry,7.4,139.3,19.5,1.3,13,7.5,5,540,2.2,0.12,0.17
J22,721168,3321156,1995,dry,7,143.5,18.5,0.8,12.3,5,2.5,562.5,2.4,0.12,0.64
J22,721168,3321156,1995,wet,7.2,164.9,23,1.7,25,30,2.5,617.8,3.1,n.d.,0.48
J22,721168,3321156,1996,dry,7.1,141.81,18,1.3,12.7,6.25,1,550.03,2.5,0.12,0.44
J22,721168,3321156,1996,wet,7.4,129.45,23,1.4,20.2,32.5,1,515.03,3,0.04,0.52
J22,721168,3321156,1997,dry,6.98,140.99,19,1.07,13.1,7.5,1,542.53,1.6,0.12,0.42
J22,721168,3321156,1997,wet,7.21,160.78,24.5,1.1,18.57,31.25,1,615.03,2.8,0.12,0.4
J22,721168,3321156,1998,dry,7.2,139.34,20,1.4,19.3,5,1,555.03,2.4,0.12,0.52
J22,721168,3321156,1998,wet,7.72,130.27,22,1.14,11.76,3.75,1,537.53,2,0.12,0.6
J22,721168,3321156,1999,dry,6.85,140.99,19.5,1.2,13.2,5,1,555.03,2.6,0.08,0.4
J22,721168,3321156,1999,wet,7.36,136.04,19,1.1,13.7,6.25,1,535.03,2,0.08,0.4
J22,721168,3321156,2000,dry,7.8,127.8,23,1.17,20,28.75,2,505.03,2.4,0.12,0.58
J22,721168,3321156,2000,wet,7.5,136.87,19,1.2,12.22,3.75,1,537.53,2.2,0.08,0.48
J22,721168,3321156,2001,dry,7.2,136.87,18.5,1.18,13.08,7.5,1,527.53,2.3,0.08,0.52
J22,721168,3321156,2001,wet,7.22,131.92,20.5,1.22,12.5,6.25,1,540.03,2.1,0.16,0.46
J22,721168,3321156,2002,dry,6.98,138.52,20.5,1.553,12.879,7.5,1,540.03,2.2,0.12,0.31
J22,721168,3321156,2002,wet,7.6,124.5,18.5,1.49,11.82,6.25,1,477.52,0.36,0.16,n.d.
J22,721168,3321156,2003,dry,7.9,140.17,18.5,1.43,13.09,8.75,1,540.03,2.2,0.08,0.43
J22,721168,3321156,2003,wet,7.48,102.24,17.5,1.16,13.53,7.5,1,427.52,2.2,0.12,0.25
J22,721168,3321156,2004,dry,8.3,135.22,18,1.16,13.34,6.25,1,507.53,2.4,0.16,0.56
J22,721168,3321156,2004,wet,8.12,74.21,18.5,1.11,12.54,6.25,0.5,330.02,2.2,0.12,n.d.
J22,721168,3321156,2005,dry,7.33,134.39,21.5,0.93,12.46,3.75,4,535,2.3,0.12,0.5
